MakerSpace Ribbon Cutting with Impact Austin,https://www.annrichardsschool.org/news/makerspace-ribbon-cutting-impact-austin/,ARS is so thankful for everything Impact Austin has provided to help ARS students to take their ideas and create anything in the MakerSpace
Iowa City students troubleshoot in makerspaces,https://www.press-citizen.com/story/news/2016/11/18/iowa-city-students-troubleshoot-makerspaces/93114094/,"Nov 18, 2016 — Students and staff have said troubleshooting and active learning are key components of the makerspace initiative"
MAKER SPACE - Ames,https://www.avecdesignbuild.com/portfolio_page/maker-space/,This unique project affectionately called Maker Space started with an old barn and a big vision
Tech Central,https://www.dmpl.org/tech-central,"Due to software issues affecting all libraries using the service, the Des Moines Public Library's Iowa Adventure Pass program will no longer be available in "
Digital Media Lab | Iowa City Public ...,https://www.icpl.org/services/digital-media-lab,Editing photos for online sharing or print projects
Making STEM Connections,https://www.sciowa.org/education/professional-development/educators/making-stem-connections/,Making STEM Connections allows educators to develop a maker's space in their learning environment
Makerspace Open Hours - Marion Public Library,https://marionpubliclibrary.libnet.info/event/8831877,
What can you make in the Maker Space?,https://carnegiestout.org/make3/,The Maker Space stocks a wide variety of these items to purchase
First Midwest Hospital Maker Space for Nurses | ANA,https://www.nursingworld.org/practice-policy/innovation/blog/first-midwest-hospital-maker-space-for-nurses/,"No, I am not an engineer and I learned to CAD through my journey of opening our makerspace"
"Connections in a high school library"" by Tracie Marshall",https://scholarworks.uni.edu/grp/98/,by T Marshall · 2016 · Cited by 1 — Keywords
Hand Crafted: A Pop-Up Maker Space for Teens,https://crschools.us/dbp/hand-crafted-a-pop-up-maker-space-for-teens/,"Hiawatha Public Library 150 W Willman St Hiawatha, IA 52233"
Stew Makerspace,https://www.linkedin.com/company/stew-makerspace,Stew Makerspace | 51 followers on LinkedIn
University of Iowa,https://twitter.com/uiowa/status/1790774369041416637,"Burge Hall is home to 'Makerspace,' a design studio equipped with the tools and supplies needed for first-year engineering students to "
Oskaloosa Public Library: Makerspace Lab Costs,http://www.oskaloosalibrary.org/p/costs-mlab.html,Makerspace Lab Costs
Makerspace,https://gilbertcsd.org/schools/gilbert-intermediate-school/makerspace/,Projects made in the Makerspace: Gilbert Community School District
"44 SEJH Makerspace ideas | makerspace, iowa city, library",https://www.pinterest.com/sejhlibrary/sejh-makerspace/,"Apr 15, 2018 - Explore SEJH Library's board ""SEJH Makerspace"" on Pinterest"
Other Makerspaces,http://wiki.makersmiths.org/display/MAK/Other+Makerspaces?src=contextnavpagetreemode,"QC Co-Lab, Davenport, Iowa "
MakerStudio,https://www.coe.edu/academics/stewart-memorial-library/spaces-technology/makerstudio,Why Coe? Submit Your Enrollment Fee · Destination: Cedar Rapids · Iowa Ready – Regent Price Match 
Maker Space Saturday Workshops,https://carnegiestout.librarycalendar.com/event/maker-space-saturday-workshops-2,Location Details
Stew Collaboratorium (Studio A),https://www.grinnellarts.org/stew-studio-a,"Grinnell, IA 50112 641"
A Librarian's Guide to Makerspaces: 16 Resources,https://www.oedb.org/ilibrarian/a-librarians-guide-to-makerspaces/,Iowa · Kansas · Kentucky · Louisiana · Maine · Maryland · Massachusetts · Michigan 
River of Innovation,https://www.rivermuseum.org/exhibits/river-innovation,
Small Business & Start-Up Resources,https://www.growcedarvalley.com/business/economic-development/small-business-start-up-resources/,Iowa Source Link's newest how-to guide will lead you through the process of 
"Makerspace Sioux City, 1401 Tri View Ave ...",https://www.mapquest.com/us/iowa/makerspace-sioux-city-430738598,"Get more information for Makerspace Sioux City in Sioux City, IA"
Makerspaces and the Iowa Core: Connections in a high ...,https://www.semanticscholar.org/paper/Makerspaces-and-the-Iowa-Core%3A-Connections-in-a-Marshall/df4c6da22913dfd13e5a401df910f0b57b0c0b70,
Area515 - The Des Moines Makerspace,https://www.meetup.com/area515/,"The Des Moines Makerspace is a non-profit community of makers, tinkerers, artists, and hobbyists "
Makerspace Monday March | Iowa Library for the Blind and ...,https://www.youtube.com/watch?v=Z-xO1KvtMFM,
An update on Washington library's new makerspace,https://www.southeastiowaunion.com/life/an-update-on-washington-librarys-new-makerspace/,"Mar 5, 2024 — For those not familiar with this project, The MakeIT Place will be the Washington Public Library's new makerspace"
College of Engineering at Iowa | There's nothing spooky ...,https://www.instagram.com/uiowa_engineering/p/CzFZOVsMYkd/,
What Nurses Make in a Hospital Makerspace,https://makezine.com/article/workshop/makerspace/what-nurses-make-in-a-hospital-makerspace/,"May 12, 2023 — ""I knew nurses were making because I did it myself"" - Rose Hedges Rose Hedges of UnityPoint Health in Cedar Rapids, Iowa and Anna Young of "
7th Grade Makerspace Project,https://sacredheartschoolwdm.org/photoalbums/7th-grade-makerspace-project,Students used TinkerCad to design 3D boats
Makerspace Policy,https://clintonpubliclibrary.us/about/policies/makerspace-policy,
For Teens,https://www.idagrove.lib.ia.us/services/teens,Maker Space
Glidden Public Library,https://www.cityofglidden.org/glidden-public-library/,Come check out the Library Makerspace
Makerspaces,https://www.finewoodworking.com/2024/03/25/maker-spaces?srsltid=AfmBOopVI5aOYgQOxc7fMdXoRHFNiWhgItz6whmGsnGfb6B-K6QF54D1,"Mar 25, 2024 — "
Our Virtual Makerspace Is Open!,https://vanmeterlibraryvoice.blogspot.com/2020/07/our-virtual-makerspace-is-open.html,"Jul 5, 2020 — District Teacher Librarian at Van Meter School in Iowa"
Dupaco powers new BizHub at Dubuque makerspace,https://www.dupaco.com/2020/09/16/dupaco-powers-new-bizhub-at-dubuque-makerspace/,"Sep 16, 2020 — DUBUQUE, Iowa—Dupaco Community Credit Union and Key City Creative Center expanded their partnership by creating an office space for small "
Student Innovation Center | Welcome to a podcast about the ...,https://www.instagram.com/cyclonesinnov8/reel/DBT8uw4s7fB/,
MakerSpace - South Sioux City Public Library,https://libraries.ne.gov/southsiouxcity/makerspace/,MakerSpace · The South Sioux City Public Library is proud to announce a program dedicated to our community's creatives and inventors: The Maker Space
Makerspace Mondays,https://garnerlibrary.com/event/makerspace-mondays/,"Jul 1, 2024 — Makerspace Mondays"
What is a Maker Space?,https://carnegiestout.org/what-is-a-maker-space/,"Mar 27, 2020 — A Maker Space is an area with a focus on creation—everything "
Uniquely West Des Moines | Special Features at this location,https://www.dmacc.edu/west/west-campus.html,"The MakerSpace is a fun, hands-on, creative, and collaborative space for all "
Maker Programs & Makerspace,https://www.imsa.edu/academics/center-for-innovation-and-inquiry/maker-programs-makerspace/,The IMSA Maker and Makerspace program area is an applied learning experience with the purpose of inspiring innovative and entrepreneurial thinking through 
